autoID,link.citation,link.methodology,interaction.type,interaction.dimensionality,interaction.classification,con.taxonomy,con.taxonomy.level,con.common,con.lifestage,con.metabolic.type,con.movement.type,con.size.citation,con.size.method,con.length.min.cm.,con.length.mean.cm.,con.length.max.cm.,con.mass.min.g.,con.mass.mean.g.,con.mass.max.g.,res.taxonomy,res.taxonomy.level,res.common,res.lifestage,res.metabolic.type,res.movement.type,res.size.citation,res.size.method,res.length.min.cm.,res.length.mean.cm.,res.length.max.cm.,res.mass.min.g.,res.mass.mean.g.,res.mass.max.g.,geographic.location,longitude,latitude,ecosystem.type,study.site,altitude,depth,sampling.time,sampling.start.year,sampling.end.year,notes,foodweb.name
1,Cattin Blandenier (2004),published account internet field natural history,predacious,NA,ibi,Vulpes vulpes,NA,NA,NA,endotherm vertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,5000,-999,Tipulidae,family,NA,larvae,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.005315518,-999,"Switzerland, Lake Neuchatel",6.98182,46.93845,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1"
2,Cattin Blandenier (2004),published account internet field natural history,predacious,2D,ibi,Emberiza schoeniclus,species,NA,NA,endotherm vertebrate,flying,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,20,-999,Coleoptera,NA,NA,larvae,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,3.84E-05,-999,"Switzerland, Lake Neuchatel",6.98182,46.93845,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1"
3,Cattin Blandenier (2004),published account internet field natural history,predacious,2D,ibi,Emberiza schoeniclus,species,NA,NA,endotherm vertebrate,flying,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,20,-999,Araneidae,family,NA,immature,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000112274,-999,"Switzerland, Lake Neuchatel",6.98182,46.93845,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1"
4,Cattin Blandenier (2004),published account internet field natural history,predacious,2D,ibi,Vulpes vulpes,NA,NA,NA,endotherm vertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,5000,-999,Tettigoniidae,family,NA,larvae,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.030210826,-999,"Switzerland, Lake Neuchatel",6.98182,46.93845,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1"
5,Cattin Blandenier (2004),published account internet field natural history,predacious,3D  ,ibi,Emberiza schoeniclus,species,NA,NA,endotherm vertebrate,flying,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,20,-999,Chironomidae,family,NA,NA,invertebrate,flying,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000163186,-999,"Switzerland, Lake Neuchatel",6.98182,46.93845,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1"
6,Cattin Blandenier (2004),published account internet field natural history,predacious,2D,ibi,Vulpes vulpes,NA,NA,NA,endotherm vertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,5000,-999,Acrididae,family,NA,larvae,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.041023122,-999,"Switzerland, Lake Neuchatel",6.98182,46.93845,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1"
7,Cattin Blandenier (2004),published account internet field natural history,predacious,2D,ibi,Emberiza schoeniclus,species,NA,NA,endotherm vertebrate,flying,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,20,-999,Stilicus rufipes,species,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000245429,-999,"Switzerland, Lake Neuchatel",6.98182,46.93845,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1"
8,Cattin Blandenier (2004),published account internet field natural history,predacious,2D,ibi,Emberiza schoeniclus,species,NA,NA,endotherm vertebrate,flying,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,20,-999,Trogophloeus corticinus,species,NA,NA,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000245429,-999,"Switzerland, Lake Neuchatel",6.98182,46.93845,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1"
9,Cattin Blandenier (2004),published account internet field natural history,predacious,3D  ,ibi,Emberiza schoeniclus,species,NA,NA,endotherm vertebrate,flying,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,20,-999,Lepidoptera,NA,NA,NA,invertebrate,flying,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000250873,-999,"Switzerland, Lake Neuchatel",6.98182,46.93845,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1"
10,Cattin Blandenier (2004),published account internet field natural history,predacious,2D,ibi,Emberiza schoeniclus,species,NA,NA,endotherm vertebrate,flying,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,20,-999,Lycosidae,family,NA,immature,invertebrate,walking,Cattin Blandenier (2004),measurement  published account  regression,-999,-999,-999,-999,0.000279476,-999,"Switzerland, Lake Neuchatel",6.98182,46.93845,terrestrial aboveground,Grand Caricaie,-999,-999,NA,NA,NA,NA,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1"
