,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,,,,,,,,,,,,,,,
,,,,Agrimony,Autumn,Birdsfoot,Black,Bramble,Common,Common,Eyebright,Fairy,Field,Field,Fools,Hemp,Hoary,Lesser,Meadow,Old,Ragwort,Red,Rosebay,Rough,Smooth,Upright,Wild,Wild,,,,,,,,,,,,,,,,,,,,
Poll_Code,order,plant,,---,hawkbit,trefoil,medic,---,catsear,knapweed,---,flax,bindweed,scabious,parsley,agrimony,plantain,Hawkbit,vetchling,mans_beard,---,clover,willowherb,hawkbit,hawkbit,hedge_parsle,angelica,carrot,,,,,,,,,,,,,,,,,,,,
1,COL,Field,scabious,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2,COL,Rough,hawkbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,
3,COL,Common,catsear,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4,COL,Rough,hawkbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
5,COL,Rough,hawkbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
6,COL,Common,catsear,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
7,COL,Autumn,hawkbit,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,
8,COL,Common,knapweed,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,3,,,,,,,,,,,,,,,,,,,,
9,COL,Red,clover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
10,DIP,Wild,carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,
11,DIP,Hemp,agrimony,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
12,DIP,Rough,hawkbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,
13,DIP,Hemp,agrimony,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,13,,,,,,,,,,,,,,,,,,,,
14,DIP,Common,knapweed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
15,DIP,Meadow,vetchling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,3,1,0,31,,,,,,,,,,,,,,,,,,,,
16,DIP,Fools,parsley,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,9,,,,,,,,,,,,,,,,,,,,
17,DIP,Field,scabious,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,10,,,,,,,,,,,,,,,,,,,,
